,Koala,@(*o*)@,
,Kool,:*)O,
,Ladybug,<{::}>,
,Ladybug,(::)<,
,large brain capacity,C:-),
,Later,l8r),
,Laugh Loud,:-D,
,Laughing,XD,
,Laughing,:)),
,Laughing,:-D,
,laughing,;-D,
,laughing (at you!),:-D,
,Laughing Like Crazy,%OD,
,Laughing out Loud,0,
,laughing out loud,%-(I),
,Laughing Tears,:.-),
,Left Hand,(-:,
,Left Hand Smiley!,(-:,
,Left Handed Tongue Touching Nose,?-:,
,Left Hug,({),
,left-handed,(-:,
,Left-handed Sad Face,)-:,
,Left-handed Smiley Face,(-:,
,Lewd Remark,>;->,
,Liar Liar,:^o,
,Licking Lips,:-9,
,Light Bulb,(i),
,Lightning,(li),
,Like My New Glasses,%-),
,"Like, Duh",";-,",
,likes to scuba dive,(:)-),
,Lion,:3,
,Lips are Sealed,:X,
,Lips are Sealed,:-X,
,lips are sealed,:-#,
,Lips are Sealed,:-*,
,Lipstick,:(),
,listening to Walkman radio,[:-),
,little girl,8:-),
,Long Nose,:~),
,long nose (Liar!),:-----),
,Look at Me,<@> <@>,
,Looking,>_>,
,Looking,<_<,
,Looking,(*)?(*),
,Looking Around,<.< >.>,
,Looking at You,<o?o>,
,Looking at You,<*_*>,
,Lopsided grin with dimple,:-?,
,Loser,L-),
,lost a fight,%+{,
,Lots of Lipstick,:-{},
,loud guffaw,:-) :-) :-),
,Love,<3,
,Love,(>^.^)> <3 <(^.^<),
,Love Struck,:x,
,M&Ms,(m)(m)(m),
,Mad,X-(,
,Mad,~:(,
,Mad,>=[,
,Mad,>=(,
,Mad,>:-<,
,Mad,">,<",
,Mad Look,;-(,
,"mad, annoyed",>:-(,
,Madonna,:-.),
,Makes Me Cry,&-L,
,Makes Me Sick,:-(*),
,Makes No Sense,:-S,
,male,:-,
,Marge Simpson,@@@@@:-),
,Marge Simpson,@@@@:-),
,Marine,(#-[,
,Married,:-)(-:,
,Martini Glass,(d),
,mean pet smiley,3:[,
,Messy Hair,#:-),
,Metal,\m/,
,Mickey Mouse,O,
,Mickey Mouse,8(:-),
,Midget,o/<,
,Midget,:),
,Midget person,o|-<,
,midget smiley,:>,
,midget smiley,:),
,midget unsmiley,:<,
,Mischievous,:p,
,mixed up,:~/,
,Mobile Phone,(mp),
,Mog,^o^,
,Mohawk,~~:-(,
,Money,(mo),
,Money Eyes,$-),
,Money Mouth,:-$,
,Monkey,U,
,Monkey,@(-_-)@,
,Monkey,---,
,monkey face,@(^_^)@,
,Monster,:E,
,mooning you,0,
,Mooning You,(|),
,Mooning You,(_i_),
,Mouse,oO~,
,Mouse,~<>^>,
,Mouse,<:3)~~,
,Mouse,<:3)~,
,Mouse,<:3 )~,
,Mousketeer,8(:-),
,Moustache,:-{),
,Moustache,:-{,
,Moustache And Beard,:-{)},
,moustache man,:-{),
,Mr. Bill,8-o,
,Mr. Magoo,~O-O~,
,MSN Messenger,(m),
,mug,l_l),
,Mustache,{ 8{],
,Mustache,:{,
,Mustache,:-{,
,Mustache & Goatee,:-{)=,
,Mustache And Beard,{:-{)},
,mutant,:-:,
,My Lips Are Sealed,:-#,
,my lips are sealed Emoticon,:-x,
,Nailbiting,:-SS,
,Napping,"~,~",
,Naughty,:-P,
,Navy Admiral,*:-),
,Navy Captain,@:-),
,Navy Commander,#:-),
,needs a haircut,(-),
,Nerd,8-|,
,Nerd,*8-I,
,Nerd,:-B,
,net.ham-radio,E-:-I,
,new graduate,Q:-),
,No Comment,{},
,no comment,:-X,
,No Explanation,|:-0,
,No expression,:-|,
,"No expression face, ‘that comment doesn’t phase me’",:-|,
,no smoking,:/i,
,Nordic,):-(,
,Normal smiling face except that a gorilla,8:],
,Not Amused,:/),
,not funny,:/),
,Not talking,[-(,
,Note,-8,
,Oh,:-O,
,Oh My God!,8-O,
,Oh No,:-O,
,Oh No!,#:-O,
,"Oh, nooooooo!",#:-o,
,Old Lady,?:-_],
,Old Man,|:-{)~,
,Older user with mustache,:-=),
,On the Phone,:)],
,one eye,.-],
,one eye,.-),
,one eye … and winking,",-)",
,One Eyebrow,:-(,
,one eyebrow raised,:-,
,One-Eyed Smile,-),
,One-Eyed Smile,-),
,Oops,:-*,
,Open-Mouthed Smile,:d,
,Open-Mouthed Smile,:-D,
,Orangutan,:=),
,Ouch!,:@,
,Overjoyed,^_^,
,owl,(^o^),
,Owl, ,
,Pac-man,<.....,
,Pacman,(<. . . . .,
,Pacman,(:V),
,Pacman,:v,
,particularly angry,:-[,
,partied all night,#-),
,Party,<:o),
,Party,<:-P,
,Partying,<l:0,
,Partying,*<(8)~/~<,
,Partying Too Much,*<|8-P~,
,Pato,(:V,
,Peace,(/|\),
,Peace,:)>-,
,Penguin,8>,
,Pensive,:-?,
,Perplexed,:-/,
,Person,<:^],
,Person submitting is Cyclops,@-),
,Personality,:^),
,Pet Dog,3:],
,pet smiley,3:],
,Phbbbbt,>:P,
,philosopher,:?),
,Picasso,%\v,
,Picasso,%-^,
,Pie Being Thrown,----|},
,Pig,o()~,
,Pig,:8),
,pig,:@),
,Pig,:(:),
,Pikachu,(o^-^o),
,Pikachu,^_^'',
,Pineapple,(_),
,Pinnochio,:---),
,Pinocchio,:-------[,
,pipe smoker,:-?,
,Pirate,P-(,
,Pizza,<|,
,Pizza,<%),
,Pizza,(pi),
,Plate,(pl),
,Pointy Mustache,:-<,
